split,class_name,label,source,group,path
train,hao,0,data,hao_18,data\hao\18.jpg
train,hao,0,data_face_only,hao_18,data_face_only\hao\18.jpg
train,hao,0,data,hao_12,data\hao\12.jpg
train,hao,0,data_face_only,hao_12,data_face_only\hao\12.jpg
train,hao,0,data,hao_19,data\hao\19.jpg
train,hao,0,data_face_only,hao_19,data_face_only\hao\19.jpg
train,hao,0,data,hao_6,data\hao\6.jpg
train,hao,0,data_face_only,hao_6,data_face_only\hao\6.jpg
train,hao,0,data,hao_32,data\hao\32.jpg
train,hao,0,data_face_only,hao_32,data_face_only\hao\32.jpg
train,hao,0,data,hao_31,data\hao\31.jpg
train,hao,0,data_face_only,hao_31,data_face_only\hao\31.jpg
train,hao,0,data,hao_37,data\hao\37.jpg
train,hao,0,data_face_only,hao_37,data_face_only\hao\37.jpg
train,hao,0,data,hao_2,data\hao\2.jpg
train,hao,0,data_face_only,hao_2,data_face_only\hao\2.jpg
train,hao,0,data,hao_13,data\hao\13.jpg
train,hao,0,data_face_only,hao_13,data_face_only\hao\13.jpg
train,hao,0,data,hao_39,data\hao\39.jpg
train,hao,0,data_face_only,hao_39,data_face_only\hao\39.jpg
train,hao,0,data,hao_29,data\hao\29.jpg
train,hao,0,data_face_only,hao_29,data_face_only\hao\29.jpg
train,hao,0,data,hao_35,data\hao\35.jpg
train,hao,0,data_face_only,hao_35,data_face_only\hao\35.jpg
train,hao,0,data,hao_30,data\hao\30.jpg
train,hao,0,data_face_only,hao_30,data_face_only\hao\30.jpg
train,hao,0,data,hao_26,data\hao\26.jpg
train,hao,0,data_face_only,hao_26,data_face_only\hao\26.jpg
train,hao,0,data,hao_20,data\hao\20.jpg
train,hao,0,data_face_only,hao_20,data_face_only\hao\20.jpg
train,hao,0,data,hao_40,data\hao\40.jpg
train,hao,0,data_face_only,hao_40,data_face_only\hao\40.jpg
train,hao,0,data,hao_5,data\hao\5.jpg
train,hao,0,data_face_only,hao_5,data_face_only\hao\5.jpg
train,hao,0,data,hao_33,data\hao\33.jpg
train,hao,0,data_face_only,hao_33,data_face_only\hao\33.jpg
train,hao,0,data,hao_21,data\hao\21.jpg
train,hao,0,data_face_only,hao_21,data_face_only\hao\21.jpg
train,hao,0,data,hao_3,data\hao\3.jpg
train,hao,0,data_face_only,hao_3,data_face_only\hao\3.jpg
train,hao,0,data,hao_28,data\hao\28.jpg
train,hao,0,data_face_only,hao_28,data_face_only\hao\28.jpg
train,hao,0,data,hao_38,data\hao\38.jpg
train,hao,0,data_face_only,hao_38,data_face_only\hao\38.jpg
train,hao,0,data,hao_7,data\hao\7.jpg
train,hao,0,data_face_only,hao_7,data_face_only\hao\7.jpg
train,hao,0,data,hao_36,data\hao\36.jpg
train,hao,0,data_face_only,hao_36,data_face_only\hao\36.jpg
train,hao,0,data,hao_27,data\hao\27.jpg
train,hao,0,data_face_only,hao_27,data_face_only\hao\27.jpg
train,hao,0,data,hao_24,data\hao\24.jpg
train,hao,0,data_face_only,hao_24,data_face_only\hao\24.jpg
train,hao,0,data,hao_9,data\hao\9.jpg
train,hao,0,data_face_only,hao_9,data_face_only\hao\9.jpg
train,hao,0,data,hao_4,data\hao\4.jpg
train,hao,0,data_face_only,hao_4,data_face_only\hao\4.jpg
train,jin,1,data,jin_j22,data\jin\j22.jpg
train,jin,1,data_face_only,jin_j22,data_face_only\jin\j22.jpg
train,jin,1,data,jin_j23,data\jin\j23.jpg
train,jin,1,data_face_only,jin_j23,data_face_only\jin\j23.jpg
train,jin,1,data,jin_j21,data\jin\j21.jpg
train,jin,1,data_face_only,jin_j21,data_face_only\jin\j21.jpg
train,jin,1,data,jin_j1,data\jin\j1.jpg
train,jin,1,data_face_only,jin_j1,data_face_only\jin\j1.jpg
train,jin,1,data,jin_j39,data\jin\j39.jpg
train,jin,1,data_face_only,jin_j39,data_face_only\jin\j39.jpg
train,jin,1,data,jin_j20,data\jin\j20.webp
train,jin,1,data_face_only,jin_j20,data_face_only\jin\j20.jpg
train,jin,1,data,jin_j34,data\jin\j34.jpg
train,jin,1,data_face_only,jin_j34,data_face_only\jin\j34.jpg
train,jin,1,data,jin_j17,data\jin\j17.png
train,jin,1,data_face_only,jin_j17,data_face_only\jin\j17.jpg
train,jin,1,data,jin_j32,data\jin\j32.jpg
train,jin,1,data_face_only,jin_j32,data_face_only\jin\j32.jpg
train,jin,1,data,jin_j37,data\jin\j37.jpg
train,jin,1,data_face_only,jin_j37,data_face_only\jin\j37.jpg
train,jin,1,data,jin_j38,data\jin\j38.jpg
train,jin,1,data_face_only,jin_j38,data_face_only\jin\j38.jpg
train,jin,1,data,jin_j19,data\jin\j19.webp
